GridType,SeedSpacing,k,nTrain,Superpixels,Time,TrainingPrSuperpixels,TP,FP,TN,FN,TotalPixels,SuperpixelsProportion,TrainingPrPixels,FPR,FNR,Sensitivity,Specificity,FDR,FOR,Precision,NPV,Accuracy
square,40,3,561,748,22.09325408935547,0.75,121411,0,1083984,23365,1228760,0.0006087437742114001,0.0004565578306585501,0.0,0.16138724650494557,0.8386127534950545,1.0,0.0,0.02109994229461534,1.0,0.9789000577053847,0.9809848953416452
square,40,4,561,748,8.662200212478638,0.75,121411,0,1083984,23365,1228760,0.0006087437742114001,0.0004565578306585501,0.0,0.16138724650494557,0.8386127534950545,1.0,0.0,0.02109994229461534,1.0,0.9789000577053847,0.9809848953416452
square,40,5,561,748,54.19553279876709,0.75,121411,0,1083984,23365,1228760,0.0006087437742114001,0.0004565578306585501,0.0,0.16138724650494557,0.8386127534950545,1.0,0.0,0.02109994229461534,1.0,0.9789000577053847,0.9809848953416452
hex,10,3,10000,18275,38.51506161689758,0.75,123231,183,1083801,21545,1228760,0.014872717210846707,0.008138285751489307,0.00016882168002479742,0.1488161021163729,0.8511838978836271,0.9998311783199753,0.0014828139433127523,0.019491634293696273,0.9985171860566873,0.9805083657063037,0.982317132719164
hex,10,4,10000,18275,7.117662668228149,0.75,123536,202,1083782,21240,1228760,0.014872717210846707,0.008138285751489307,0.00018634961401644304,0.14670939934795824,0.8532906006520418,0.9998136503859836,0.0016324815335628504,0.01922133676976567,0.9983675184664371,0.9807786632302343,0.9825498876916566
hex,10,5,10000,18275,3.9193460941314697,0.75,123547,194,1083790,21229,1228760,0.014872717210846707,0.008138285751489307,0.00017896943128311858,0.14663341990385148,0.8533665800961485,0.9998210305687169,0.0015677907888250458,0.01921143437352661,0.9984322092111749,0.9807885656264734,0.9825653504345845
hex,20,3,3666,4888,42.51972484588623,0.75,122259,130,1083854,22517,1228760,0.003977994075327973,0.0029834955564959796,0.00011992796941652276,0.15552992208653368,0.8444700779134663,0.9998800720305835,0.0010621869612465172,0.02035212419703698,0.9989378130387535,0.979647875802963,0.9815692242586022
hex,20,4,3666,4888,25.83083701133728,0.75,122551,156,1083828,22225,1228760,0.003977994075327973,0.0029834955564959796,0.0001439135632998273,0.15351301320660882,0.8464869867933912,0.9998560864367002,0.0012713211145248438,0.020093973796915698,0.9987286788854751,0.9799060262030843,0.9817857026595918
hex,20,5,3666,4888,43.16061782836914,0.75,122551,156,1083828,22225,1228760,0.003977994075327973,0.0029834955564959796,0.0001439135632998273,0.15351301320660882,0.8464869867933912,0.9998560864367002,0.0012713211145248438,0.020093973796915698,0.9987286788854751,0.9799060262030843,0.9817857026595918
hex,30,3,1581,2108,23.07604956626892,0.75,122115,140,1083844,22661,1228760,0.0017155506364139458,0.0012866629773104594,0.00012915319783317835,0.15652456208211304,0.8434754379178869,0.9998708468021669,0.001145147437732608,0.020479799006782616,0.9988548525622674,0.9795202009932173,0.9814438946580293
hex,30,4,1581,2108,11.923097133636475,0.75,121925,73,1083911,22851,1228760,0.0017155506364139458,0.0012866629773104594,6.734416744158585e-05,0.1578369342985025,0.8421630657014975,0.9999326558325584,0.0005983704650895916,0.020646715373314226,0.9994016295349104,0.9793532846266858,0.981343793743286
hex,30,5,1581,2108,22.26109266281128,0.75,121925,73,1083911,22851,1228760,0.0017155506364139458,0.0012866629773104594,6.734416744158585e-05,0.1578369342985025,0.8421630657014975,0.9999326558325584,0.0005983704650895916,0.020646715373314226,0.9994016295349104,0.9793532846266858,0.981343793743286
hex,40,3,909,1212,25.40592908859253,0.75,121940,81,1083903,22836,1228760,0.0009863602330805038,0.0007397701748103779,7.472435017491033e-05,0.15773332596562967,0.8422666740343703,0.9999252756498251,0.0006638201621032445,0.020633591117688994,0.9993361798378968,0.979366408882311,0.981349490543312
hex,40,4,909,1212,8.568437814712524,0.75,121888,36,1083948,22888,1228760,0.0009863602330805038,0.0007397701748103779,3.321082229996015e-05,0.15809250151958887,0.8419074984804111,0.9999667891777,0.00029526590334962764,0.02067876361086918,0.9997047340966504,0.9793212363891308,0.981343793743286
hex,40,5,909,1212,10.442092895507812,0.75,121888,36,1083948,22888,1228760,0.0009863602330805038,0.0007397701748103779,3.321082229996015e-05,0.15809250151958887,0.8419074984804111,0.9999667891777,0.00029526590334962764,0.02067876361086918,0.9997047340966504,0.9793212363891308,0.981343793743286
square,10,3,9912,12390,23.228485107421875,0.8,123448,267,1083717,21328,1228760,0.010083336046095251,0.008066668836876201,0.00024631359872470443,0.14731723490081228,0.8526827650991877,0.9997536864012753,0.002158186153659621,0.019300571469940138,0.9978418138463404,0.9806994285300599,0.9824253719196588
